Decade,Combo_ID,1980,1990,2000,2010,2020
727,200263,,,8.5344,,
728,200264,,,8.5344,,
729,200271,,,35.052,,
730,200279,,,32.004,,
731,200281,,,41.4528,,
732,200282,,,41.4528,,
733,200283,,,41.4528,,
734,200301,,,21.6408,,
735,200309,,,7.9248,,
736,200314,,,37.7952,,
737,200326,,,21.336,,
738,200327,,,21.336,,
739,200334,,,36.576,,
740,200335,,,37.1856,,
741,200336,,,37.1856,,
742,200337,,,37.1856,,
743,200338,,,37.1856,,
744,200339,,,37.1856,,
745,200340,,,37.1856,,
746,200347,,,11.2776,,
747,200367,,,28.3464,,
748,200374,,,3.048,,
749,200384,,,14.3256,,
750,200392,,,13.1064,,
751,200393,,,11.5824,,
752,200408,,,54.864,,
753,200411,,,32.9184,,
754,200418,,,0,,
755,200419,,,0,,
756,200420,,,0,,
757,200421,,,0,,
758,200423,,,6.096,,
759,200424,,,6.096,,
760,200449,,,42.672,,
761,200450,,,44.5008,,
762,200463,,,24.384,,
763,200465,,,28.956,,
764,200475,,,36.576,,
765,200476,,,22.5552,,
766,200477,,,10.668,,
767,200484,,,27.432,,
768,200488,,,14.0208,,
769,200489,,,11.8872,,
770,200505,,,3.9624,,
771,200506,,,3.9624,,
772,200507,,,3.9624,,
773,200508,,,1.524,,
774,200509,,,1.2192,,
775,200513,,,7.9248,,
776,200517,,,0,,
777,200518,,,0,,
778,200519,,,1.8288,,
779,200520,,,1.8288,,
780,200529,,,10.3632,,
781,200533,,,26.2128,,
782,200534,,,3.048,,
783,200536,,,12.192,,
784,200574,,,21.336,,
785,200578,,,17.9832,,
786,200584,,,15.24,,
787,200588,,,9.144,,
788,200592,,,42.672,,
789,200596,,,28.3464,,
790,200597,,,28.3464,,
791,200598,,,28.3464,,
792,200600,,,47.244,,
793,200601,,,47.244,,
794,200602,,,47.244,,
795,200603,,,3.6576,,
796,200610,,,30.7848,,
797,200637,,,8.2296,,
798,200650,,,7.0104,,
799,200664,,,20.7264,,
800,200686,,,10.0584,,
801,200700,,,18.288,,
802,200704,,,12.4968,,
803,200708,,,6.096,,
804,200711,,,5.4864,,
805,200727,,,2.1336,,
806,200740,,,13.716,,
807,200741,,,5.4864,,
808,200742,,,5.4864,,
809,200743,,,38.4048,,
810,200758,,,19.812,,
811,200759,,,19.812,,
812,200760,,,19.812,,
813,200765,,,10.3632,,
814,200766,,,8.2296,,
815,200767,,,0,,
816,200768,,,6.4008,,
817,200782,,,28.6512,,
818,200783,,,28.6512,,
819,200790,,,18.288,,
820,200792,,,13.4112,,
821,200801,,,42.672,,
822,200802,,,42.672,,
823,200803,,,42.672,,
824,200805,,,42.672,,
825,200806,,,42.672,,
826,200807,,,42.672,,
827,200808,,,42.672,,
828,200809,,,42.672,,
829,200810,,,42.672,,
830,200816,,,32.004,,
831,200817,,,18.288,,
832,200822,,,3.048,,
833,200823,,,4.572,,
834,200824,,,3.048,,
835,200834,,,22.86,,
836,200840,,,24.9936,,
837,200843,,,21.336,,
838,200845,,,19.812,,
839,200850,,,30.48,,
840,200877,,,13.1064,,
841,200881,,,19.812,,
842,200894,,,26.8224,,
843,200900,,,21.336,,
844,200911,,,35.052,,
845,200940,,,28.0416,,
846,200947,,,28.956,,
847,200948,,,7.0104,,
848,200950,,,18.288,,
849,200970,,,15.24,,
850,200971,,,11.2776,,
851,200990,,,39.624,,
852,200991,,,37.4904,,
853,201005,,,5.4864,,
854,201010,,,18.288,,
855,201011,,,27.1272,,
856,201024,,,32.6136,,
857,201045,,,17.6784,,
858,201062,,,33.2232,,
859,201069,,,23.4696,,
860,201085,,,25.6032,,
861,201086,,,25.6032,,
862,201087,,,25.6032,,
863,201108,,,17.9832,,
864,201109,,,25.908,,
865,201114,,,20.1168,,
866,201150,,,27.432,,
867,201161,,,3.6576,,
868,201162,,,43.5864,,
869,201163,,,43.2816,,
870,201164,,,3.6576,,
871,201166,,,3.3528,,
872,201167,,,3.3528,,
873,201169,,,3.9624,,
874,201170,,,3.9624,,
875,201171,,,3.6576,,
876,201174,,,30.48,,
877,201177,,,19.812,,
878,201178,,,21.9456,,
879,201180,,,11.2776,,
880,201181,,,11.2776,,
881,201182,,,11.2776,,
882,201185,,,15.24,,
883,201186,,,26.5176,,
884,201191,,,6.096,,
885,201196,,,18.5928,,
886,201197,,,18.5928,,
887,201198,,,18.5928,,
888,201201,,,10.9728,,
889,201202,,,10.9728,,
890,201203,,,12.192,,
891,201204,,,10.668,,
892,201205,,,9.144,,
893,201206,,,7.62,,
894,201235,,,4.8768,,
895,201236,,,5.1816,,
896,201274,,,30.48,,
897,201275,,,30.48,,
898,201277,,,15.24,,
899,201283,,,19.812,,
900,201302,,,42.672,,
901,201303,,,42.672,,
902,201304,,,42.672,,
903,201305,,,42.672,,
904,201321,,,22.86,,
905,201340,,,32.004,,
906,201350,,,6.096,,
907,201352,,,33.528,,
908,201364,,,6.4008,,
909,201365,,,28.6512,,
910,201371,,,7.62,,
911,201373,,,18.288,,
912,201374,,,9.7536,,
913,201379,,,14.0208,,
914,201380,,,14.0208,,
915,201381,,,14.0208,,
916,201382,,,14.0208,,
917,201383,,,14.0208,,
918,201384,,,14.0208,,
919,201385,,,14.0208,,
920,201386,,,14.0208,,
921,201387,,,14.0208,,
922,201388,,,14.0208,,
923,201398,,,8.2296,,
924,201401,,,36.576,,
925,201403,,,4.572,,
926,201404,,,4.572,,
927,201405,,,4.572,,
928,201408,,,17.0688,,
929,201438,,,14.9352,,
930,201459,,,23.4696,,
931,201460,,,16.764,,
932,201461,,,16.764,,
933,201462,,,16.764,,
934,201466,,,5.4864,,
935,201471,,,10.9728,,
936,201483,,,42.0624,,
937,201498,,,18.5928,,
938,201515,,,11.5824,,
939,201516,,,11.5824,,
940,201517,,,11.5824,,
941,201518,,,11.5824,,
942,201519,,,11.5824,,
943,201520,,,11.5824,,
944,201534,,,9.4488,,
945,201542,,,3.048,,
946,201543,,,32.004,,
947,201550,,,3.9624,,
948,201551,,,3.9624,,
949,201552,,,3.9624,,
950,201554,,,17.9832,,
951,201561,,,5.4864,,
952,201567,,,18.8976,,
953,201576,,,9.7536,,
954,201586,,,18.288,,
955,201587,,,18.288,,
956,201588,,,18.288,,
957,201589,,,18.288,,
958,201612,,,15.24,,
959,201614,,,24.384,,
960,201621,,,36.576,,
961,201651,,,13.1064,,
962,201652,,,14.6304,,
963,201653,,,14.6304,,
964,201654,,,14.6304,,
965,201655,,,14.6304,,
966,201661,,,18.288,,
967,201663,,,18.8976,,
968,201666,,,3.6576,,
969,201700,,,15.24,,
970,201702,,,32.3088,,
971,201715,,,9.7536,,
972,201720,,,5.4864,,
973,201767,,,15.24,,
974,201768,,,26.2128,,
975,201770,,,25.6032,,
976,201775,,,16.764,,
977,201776,,,21.336,,
978,201777,,,25.2984,,
979,201793,,,15.24,,
980,201794,,,24.384,,
981,201803,,,24.384,,
982,201810,,,41.7576,,
983,201811,,,41.7576,,
984,201812,,,41.7576,,
985,201813,,,41.7576,,
986,201814,,,41.7576,,
987,201815,,,41.7576,,
988,201816,,,41.7576,,
989,201818,,,41.7576,,
990,201819,,,41.7576,,
991,201820,,,41.7576,,
992,201821,,,42.0624,,
993,201838,,,42.672,,
994,201839,,,42.672,,
995,201842,,,41.148,,
996,201844,,,9.144,,
997,201845,,,17.6784,,
998,201846,,,37.4904,,
999,201866,,,14.9352,,
1000,201876,,,14.6304,,
1001,201878,,,32.004,,
1002,201882,,,19.2024,,
1003,201888,,,24.384,,
1004,201904,,,18.8976,,
1005,201926,,,21.336,,
1006,201927,,,16.764,,
1007,201953,,,17.0688,,
1008,201964,,,22.86,,
1009,201991,,,42.0624,,
1010,201996,,,10.668,,
1011,202002,,,18.288,,
1012,202048,,,29.8704,,
1013,202053,,,3.048,,
1014,202057,,,19.812,,
1015,202058,,,19.812,,
1016,202059,,,42.0624,,
1017,202060,,,42.672,,
1018,202068,,,29.8704,,
1019,202070,,,5.4864,,
1020,202082,,,17.0688,,
1021,202111,,,29.8704,,
